"도시대기",부산,북구,덕천동,24,31,25,19,21,27,17,19,17,24,22,29
"도시대기",부산,사하구,장림동,23,24,22,16,34,42,22*,24,14,32,28,39
"도시대기",부산,부산진구,전포동,27,30,26,25,44,29,18,25,17,28,23,33
"도시대기",부산,연제구,연산동,36,39,35,31,32,32,26,25,18,27,24,30
"도시대기",부산,영도구,태종대,20,28,24,21,22,20,16,23,13,22,21,26
"도시대기",부산,금정구,청룡동,36,35,31,28,30,31,24,28,15,22,19,27
"도시대기",부산,금정구,부곡동,25,32,27,21,40,29,18**,21,13*,22,19,25
"도시대기",부산,해운대구,좌동,26,30,27,25,28,27,22,22,13,20,19,25
"도시대기",부산,강서구,대저동,31,32,29,24,28,30,23,24,15,30,28,35
"도시대기",부산,강서구,녹산동,36,39,36,29,37,38,27*,28,20,30,23,28
"도시대기",부산,기장군,기장읍,28,32,25,26,29,30,23,27,15,19,18,20
"도시대기",부산,기장군,용수리,19,20,17,20,21,21,18**,18,19,24,17,23
"도시대기",부산,수영구,광안동,24,28,23,24,30,23,20,29,10,22,23,28
"도시대기",부산,동래구,명장동,29,34,31,26,30,25,17**,18,12,23,25,29
"도시대기",부산,동구,수정동,20,28,24,20,26,24,16,18,22,23*,19,23
"도시대기",부산,서구,대신동,24,34,29,19,24,28,21,19,17,27,24,26
"도시대기",대구,서구,이현동,36,33,29,24,27,30,24,26,20**,29,24,34
"도시대기",대구,북구,태전동,36,37,33,23,26,29,13,17,12,22,18,30
"도시대기",대구,동구,율하동,40,40,36,26,29,33,25,25,19,29,37**,38
"도시대기",대구,수성구,만촌동,31,26,23,17,20,21,18,28**,16,23,22,29
"도시대기",대구,수성구,지산동,30,32,28,20,21,30,21,21,14,26,26,38
"도시대기",대구,달서구,호림동,31,34,29,24,27,30,22*,24**,16,28,20,28
"도시대기",대구,달성군,현풍면,27,29,26,20,22,24,19,18,13,21,15,21
"도시대기",인천,중구,신흥,-,-,-,41,38,36,28,31,26,39,39,46
"도시대기",인천,중구,운서,-,33,29,26,27,23,20,25,19*,22,24,28
"도시대기",인천,동구,송림,33,-,-,-,-,-,-,-,-,-,-,-
"도시대기",인천,남동구,구월동,-,-,-,37,37,35,29,33,24,37,33,45
"도시대기",인천,남동구,고잔,-,-,-,30,21,17,27,33,26,43,39,46*
"도시대기",인천,서구,연희,25,29,29,25,25,20,17,22,16,23,25,31
"도시대기",인천,계양구,계산,35,39,34,26,28,29,23,25,20,30,30*,39
"도시대기",인천,강화군,송해,29,30,31,23,18,19,19,23,18,23,27,31
"도시대기",광주,동구,서석동,21,26,26,19,21,24,20,20,13**,23,18,21
"도시대기",광주,북구,두암동,23,28,29,21,23,26,23,21,14*,23,17,19
"도시대기",광주,북구,건국동,33,39,45,29,29,30,22,27,18,35,30,32
"도시대기",광주,광산구,송정1동,25,29,32,22,24,27,21,22,17,27,22,23
"도시대기",광주,광산구,오선동,37,48,50,32,32,34,24,23,16*,36,34,37
"도시대기",광주,남구,주월동,25,29,31,21,18,23,20,21,15**,39*,26,32
"도시대기",대전,유성구,구성동,34,36,37,23,29,27,19,20,18,33,30,34
"도시대기",울산,중구,성남동,28,36,32,27,38,35,23,27,16,25,21,25
"도시대기",울산,남구,야음동,27,28*,24,20,24,23,18,21,11,17,14,18
"도시대기",울산,울주군,화산리,32,34,33,31,39,34,23*,22,11,28,21,24
"도시대기",울산,울주군,삼남읍,28,30,25,22,25,29,23*,19*,14,21,16,23
"도시대기",울산,북구,농소동,26,31,29,26,31,31,25,25,13,20,20,22
"도시대기",울산,동구,대송동,23,32,30,25,32,28,22,27*,14,21,19,24
"도시대기",경기,수원,인계동,29,35,34,23,24,22*,19,21,17,25,22,27
"도시대기",경기,수원,광교동,-,-,-,-,-,-,-,-,-,-,24,30
"도시대기",경기,수원,영통동,29,33,32,22,24,22,18,22,18,28,23,27
"도시대기",경기,수원,천천동,29,35,33,23,24,22,19,23,18,-,-,-
"도시대기",경기,성남,운중동,25,29,27,20,20,18,17,22,12,19,15,21
"도시대기",경기,의정부,의정부1동,-,-,-,-,-,-,-,-,-,-,38,54
"도시대기",경기,안산,원시동,36,40,42,31,27,25,22*,20**,21,33,32,44
"도시대기",경기,안산,부곡동,29,29,28,21,19,17,14,17,14,23,25,38
"도시대기",경기,안산,대부동,29,34,31,23,20,18,16,19,14,22,26,34
"도시대기",경기,구리,동구동,31,40,38,26,28,28**,28*,21*,23,32,30,43
"도시대기",경기,의왕,고천동,-,-,-,-,-,-,-,-,-,-,24,30
"도시대기",경기,부천,오정동,32,43,39,27*,27,21,20,26,-,41*,31,46
"도시대기",경기,김포,고촌읍,33,40,37,26,24,21,19,22,18,26,25,36
"도시대기",경기,하남,신장동,31,36,31,20,21,18,17,21,13,23,20,25
"도시대기",경기,양평,양평읍,-,-,-,-,-,-,-,-,-,-,19,28
"도시대기",강원,춘천,중앙로,40,43,37,26,26,21,17,20,15,26,24,39
"도시대기",강원,춘천,석사동,35,36,32,20,20,14,14,18,13,25,29*,45**
"도시대기",강원,강릉,옥천동,20,24,25,20,21,21,17,22,12,16,14,25
"도시대기",강원,원주,중앙동,49,51,43,28,35,26,22,24,16,34,29,43
"도시대기",충북,청주,송정동,-,-,-,29,34,30,18,22,19,41,35,44
"도시대기",충북,청주,사천동,-,-,-,-,-,-,-,-,-,-,-,39
"도시대기",충북,청주,문화동,-,-,-,25,29,25,16,19,14,33,31,43
"도시대기",충북,청주,용암동,-,-,-,-,-,-,-,-,-,-,-,37
"도시대기",충북,청주,오창읍,-,-,-,-,-,-,-,-,-,-,-,41
"도시대기",충북,충주,호암동,-,-,-,-,-,-,-,-,-,-,-,35
"도시대기",충북,충주,칠금동,-,-,-,-,-,-,-,-,-,-,-,31
"도시대기",충북,제천,장락동,-,-,-,-,-,-,-,-,-,-,-,28
"도시대기",충북,단양,매포읍,-,-,-,-,-,-,-,-,-,-,-,28
"도시대기",충남,천안,성황동,-,-,-,-,-,30,22,26,22,38*,37**,39*
"도시대기",전북,군산,소룡동,-,-,-,-,34,34,28,27,-,39,-,36
"도시대기",전북,익산,팔봉동,-,-,-,36,39,43,-,-,25,49,39,48
"도시대기",전북,부안,부안읍,-,-,-,-,-,-,-,25,21,37,37,39
"도시대기",전남,여수,광무동,22,25,23,19,23,24,19,22,15,24,18,23
"도시대기",전남,광양,진상면,33,38,35,26,28,36,24,21,17,26,20,22
"도시대기",전남,광양,광양읍,29,30,26,19,20,24,18,20,14,25,19,25
"도시대기",전남,순천,연향동,23,26,24,18,21,25,20,21,19,29,21,28
"도시대기",전남,목포,부흥동,27,28,31,21,20,24,23,21,16,29,24,24
"도시대기",전남,영암,나불리,31,36,40,30,27,31,29,31,25,34,35,34
"도시대기",경북,김천,신음동,-,-,-,-,-,30,21,21,21,32,32,42
"도시대기",경남,창원,가음정동,19,23,22,19,29,29,23,21,18,26,23,29
"도시대기",경남,창원,용지동,30,35,31,24,28,29,30,24,18,22,23,31
"도시대기",경남,창원,경화동,23,30,27,23,30,33,23,25,15,26,22,29
"도시대기",경남,창원,회원동,32,36,30,24,28,27,22*,33,16,27,28,35
"도시대기",경남,진주,상봉동,26,32,30,23,27,30,24,25,21,25,24,25
"도시대기",경남,진주,상대동,27,34,30,25,33,36,25,29,21,31,21,29
"도시대기",경남,하동,하동읍,35,41,41,26,35,39,31,27,16,24*,19,21
"도시대기",경남,김해,장유동,16,21,22,18,24,23,18,19,13,18,16,20
"도시대기",경남,양산,북부동,31,37,32,25,29,-,25,25,20,25,20,27
"도시대기",경남,거제,아주동,27,34,30,25,25,28,19,23,21,23,21,25
"도시대기",경남,사천,사천읍,22,25,22,16,21,26,21,22,13,20,15,20
"도시대기",제주,제주,이도동,-,-,-,-,-,-,-,-,-,-,25,26
"도시대기",제주,제주,연동,24,25,31,23,22,25,22,21,14,19,26,28
"도시대기",제주,서귀포,동홍동,-,-,-,-,-,-,-,-,-,-,15,23
"국가배경농도",인천,옹진군,백령도,28,34,30,28,21,20,16,22,14,19,32,27
"국가배경농도",경북,울릉군,태하리,15,21,23,21,21,17,15*,18,12,15,13,15*
"국가배경농도",제주,북제주,고산리,30,26,26,25,21,21,24,35,15,21,17,21
"교외대기",인천,강화군,석모리,32,36,37,33,24,29,24,30,19,25,31,36
"교외대기",경기,포천,관인면,24,34,34,26,16,19,16,18,13,24,24,25
"도로변대기",부산,부산,온천동,27,33,28,28,44,31,25,30,16,24,20,25
"도로변대기",부산,부산,초량동,37,39,35,32,31,28,21,24,13,23,25,29
"도로변대기",부산,부산,시도평균,32,36,32,30,38,29,23,27,15,24,22,27
"도로변대기",대구,대구,평리동,49,47,44,34,37,34,24,26,21,36,31,47
"도로변대기",광주,광주,치평동,36,37,44,29,26,31,24,23,19,34,31,34
"도로변대기",경기,용인,중부대로(구갈동),-,-,-,-,-,-,-,-,-,-,28,32
"도로변대기",충북,청주,복대동,36,37,43,30,41,37,21,22,19,39,37,42
