"구분(1)",구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
"도시대기",서울,중구,서소문동,21,27,34,26,26,24,18,21,14,23,18,23
"도시대기",서울,종로구,효제동,24,30,27,20,24,28,27,27,17,24,21,32
"도시대기",서울,중랑구,면목동,26,31,31,22,23,20,19,21,15,22,19,26
"도시대기",서울,동대문구,용두동,22,26,31,23,22,20,20,23,16,25,22,26
"도시대기",서울,은평구,불광동,28,33,32,21,20,17,17,21,15,22,19,25
"도시대기",서울,마포구,대흥동,26,31,34,25,26,23,21,25,18,28,26,34
"도시대기",서울,영등포구,당산동,25,30,32,24,24,22,19,23,16,25,22,26
"도시대기",서울,동작구,사당동,24,29,32,22,23,21,21,23,18,30,23,27
"도시대기",서울,관악구,신림동,19,32,35,23,28,24,21,26,20,28,26,32
"도시대기",서울,강남구,대치동,26,33,32,21,22,21,19,21,16,23,21,26
"도시대기",서울,금천구,시흥동,27,28,32,23,25,26,22,29*,24**,29,25,34
"도시대기",서울,강동구,천호동,27,31,27,19,20,18,17,18,15,25,20,25
"도시대기",서울,강북구,번동,22,25,27,18,21,18,17,23*,23**,27,22,29*
"도시대기",서울,성북구,길음동,23,28,27,20,20,18,16,19,15,21,19,25
"도시대기",서울,용산구,한남동,23,28,25,21,26,23,21,25,17,28,24,31
"도시대기",서울,광진구,구의동,24,28,25,21,19,16,19,22,14,23,19,33
"도시대기",서울,성동구,성수동,26,31,33,23,22,19,18,21,15,22,19,26
"도시대기",서울,도봉구,쌍문동,26,29,31,22,21,19,18,20,14,21,18,25
"도시대기",서울,서대문구,남가좌동,24,33,27,20,20,17,16,20,14,21,20,26
"도시대기",서울,구로구,구로동,24,28,29,22,22,22,20,23,15,25,22,27
"도시대기",서울,서초구,반포동,28,34,29,20,21,20,18,21,16,24,21,25
"도시대기",서울,강서구,화곡동,27,35,30,22,23,23,21,25,18,26,23,27
"도시대기",서울,송파구,방이동,27,33,30,20,19,15,14,21,15,24,19,25
"도시대기",서울,양천구,신정동,23,31,25,20,19,18,13,18*,23**,28,25,34
"도시대기",서울,노원구,상계동,25,31,27,16,15,13,14,16,11,18,21,32
"도시대기",부산,중구,광복동,29,36,32,28,38,36,27,26,16,29,24,31
"도시대기",부산,남구,대연동,21,25,20,19,26,25,13,17,20,28,31,24
"도시대기",부산,사상구,학장동,33,31,34,36,44,43,25**,26,18,29,30,37
